id,value,description
0,0rz.tw,
1,1un.fr,
2,1url.cz,
3,shrunken.com,
4,p.asia,
5,g.asia,
6,3.ly,
7,0.gp,
8,2.ly,
9,4.gp,
10,4.ly,
11,6.ly,
12,7.ly,
13,8.ly,
14,9.ly,
15,2.gp,
16,6.gp,
17,5.gp,
18,ur3.us,
19,bitly.com,
20,2doc.net,
21,alturl.com,
22,2tu.us,
23,5z8.info,
24,link.ac,
25,a0.fr,
26,adf.ly,
27,bc.vc,
28,bit.do,
29,bit.ly,
30,ko.gl,
31,wa.gl,
32,kr.pe,
33,baro.lk,
34,me2.kr,
35,url.vet,
36,boa.la,
37,urls.kr,
38,linkdl.kr,
39,blap.net,
40,br4.in,
41,bzh.me,
42,cc.cc,
43,cutt.ly,
44,cutt.us,
45,dd.ma,
46,droid.ws,
47,forms.gle,
48,gg.gg,
49,hoy.kr,
50,href.li,
51,ow.ly,
52,ht.ly,
53,icit.fr,
54,b2n.ir,
55,yun.ir,
56,iwo.ir,
57,1ea.ir,
58,l2o.ir,
59,plink.ir,
60,rizy.ir,
61,zaya.io,
62,adr3.ir,
63,akoo.ir,
64,cuur.ir,
65,twlink.ir,
66,icks.ro,
67,is.gd,
68,ity.im,
69,fumacrom.com,
70,jdem.cz,
71,kutt.it,
72,lc.cx,
73,lnk.sk,
74,oe.cd,
75,ppt.cc,
76,rb.gy,
77,redir.ec,
78,reurl.cc,
79,sdu.sk,
80,0a.sk,
81,5du.pl,
82,skrat.it,
83,xn--a-4ka.eu,
84,gestyy.com,
85,sh.st,
86,shorturl.at,
87,urlz.com,
88,short.gy,
89,swiy.co,
90,switchy.io,
91,han.gl,
92,tiny.cc,
93,tiny.pl,
94,tinyurl.com,
95,rotf.lol,
96,tiny.one,
97,tinyurl.hu,
98,t.hk.uy,
99,qq.cn.hn,
100,dwz.date,
101,cn.hk.uy,
102,tb.cn.hn,
103,dwz.win,
104,jd.cn.hn,
105,skr.sk,
106,t2mio.com,
107,go.ly,
108,to.ly,
109,tpmr.com,
110,u.to,
111,urls.fr,
112,urlz.fr,
113,urlzs.com,
114,v.ht,
115,v.gd,
116,utfg.sk,
117,vo.la,
118,vzturl.com,
119,waa.ai,
120,xrl.us,
121,zzb.bz,
122,vd55.com,
123,vbly.us,
124,t.ly,
125,bl.ink,
126,rebrand.ly,
127,buff.ly,
128,bitly.kr,
129,asq.kr,
130,acortar.link,
131,n9.cl,
132,shorte.st,
133,wl.co,
134,bre.is,
135,snip.ly,
136,qrs.ly,
137,ibit.ly,
138,sur.ly,
139,simp.ly,
140,vk.sv,
141,jio.sh,
142,ouo.io,
143,ouo.press,
144,uclck.me,
145,urlo.in,
146,link.gy,
147,linklyhq.com,
148,lnkiy.in,
149,3c5.com,
150,9k.gg,
151,shorturl.ae,
152,goo.su,
153,fupi.co.tz,
154,tinyurl.mobi,
155,add.lat,
156,4shorturl.app,
157,lurl.fr,
158,dik.si,
159,shorting.asia,
160,urlme.cc,
161,itsssl.com,
162,2.gd,
163,xn--57h.ws,
164,xn--k28h.tk,
165,xn--ms8h.st,
166,evx.ca,
167,t2m.io,
168,zipurl.link,
169,bc.tc,
170,mex.su,
171,sendgrid.net,
172,lnkd.in,
173,985.so,
174,cya.nz,
175,heylink.me,
176,linkclickcounter.com,
177,l-ink.me,
178,peek.link,
179,s.id,
180,shrtco.de,
181,pixly.me,
182,pixly.link,
183,2ww.me,
184,t.co,
185,hm.ru,
186,lnk.to,
187,zpr.io,
188,jii.li,
189,surl.li,
190,queer.li,
191,bujo.li,
192,did.li,
193,nfw.cz,
194,tt.vg,
195,linkfly.to,
196,urlis.net,
197,bitly.ws,
198,appurl.io,
199,shiny.link,
200,cuttt.ink,
201,bitly.lc,
202,ln.run,
203,sqzr.cz,
204,lnwlink.com,
205,eduf.it,
206,swll.to,
207,gtly.to,
208,lnkz.at,
209,idm.in,
210,d.yzh.li,
211,trimmer.to,
212,shorten.is,
213,s3r.io,
214,qrco.de,
215,dub.sh,
216,s.ee,
217,mylinkinb.io,
218,jo.my,
219,d.to,
220,dub.link,
221,chatg.pt,
222,spti.fi,
223,git.new,
224,cal.link,
225,ggl.link,
226,amzn.id,
227,fig.page,
228,2ly.link,
229,l.linklyhq.com,
230,3ly.link,
231,goo.by,
232,qoo.by,
233,urls.by,
234,flii.by,
235,iplog.link,
236,iatp.by,
